,name,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,train_f1_weighted,test_f1_weighted,test_top5_accuracy,test_top10_accuracy
LightGBM,LightGBM,0.05160510873317225,0.03935105281325509,0.03071533483410326,0.014604078900105441,0.051617975708841336,0.04261006861923738,0,0
Random Forest,Random Forest,0.5579910251984812,0.35830169140490165,0.4524569427825408,0.12267733105751959,0.5639536279801252,0.3705692619095612,0,0
